outlook,temperatura,wilgotność,windy,class
sunny,gorąco,wysoka,false,Don'tPlay
sunny,gorąco,wysoka,true,Don'tPlay
overcast,gorąco,wysoka,false,Play
rain,średnio,wysoka,false,Play
rain,chłodno,normalna,false,Play
rain,chłodno,normalna,true,Don'tPlay
overcast,chłodno,normalna,true,Play
sunny,średnio,wysoka,false,Don'tPlay
sunny,chłodno,normalna,false,Play
rain,średnio,normalna,false,Play
sunny,średnio,normalna,true,Play
overcast,średnio,wysoka,true,Play
overcast,gorąco,normalna,false,Play
rain,średnio,wysoka,true,Don'tPlay
